PredictEd Knowledge Map,Version,11,LTM
the,14978,past,initial,council,future,deadline,27,20,9,7,1
of,7177,the,time,what,mathematics,biological,1964,18,8,3,2
and,5812,political,for,brazil,what,asphalt,12,11,3,3,1
to,5316,the,have,happen,keeping,impede,802,77,2,1,1
in,5113,the,time,print,technical,kingston,1277,8,3,1,1
a,4443,further,disappointing,round,genre,lifelong,10,2,1,1,1
is,2277,a,an,seen,practically,related,184,58,3,3,1
was,1930,also,followed,killed,from,seriously,33,8,8,2,1
as,1812,a,being,traitors,adults,lapping,310,24,1,1,1
for,1762,his,their,aafss,following,€,26,25,1,1,1
that,1700,are,will,used,form,inter,43,3,3,2,1
with,1464,a,an,i,opera,berlin,136,35,1,1,1
by,1436,the,french,peirce,georg,j,320,4,1,1,1
on,1399,the,september,november,saadiyat,abruzzo,452,7,7,1,1
are,1220,the,not,more,processed,local,50,50,10,1,1
from,1133,the,their,argentina,reaching,eternity,307,13,1,1,1
it,1115,is,was,to,becomes,takes,240,177,20,6,4
be,973,considered,governor,larger,sued,split,15,1,1,1,1
his,966,own,death,new,satiric,mig,32,17,5,1,1
this,929,was,with,set,reaction,timeless,40,2,1,1,1
or,857,when,over,homosexual,ground,affect,6,1,1,1,1
an,831,hour,act,amendment,injection,adc,8,3,1,1,1
at,822,a,its,all,giac,tropicana,53,8,7,1,1
he,815,was,died,returned,obtained,escapes,123,6,6,3,1
were,779,not,written,exchanged,are,below,23,6,2,1,1
not,724,be,present,previously,exposed,invited,32,3,1,1,1
which,615,is,are,supposedly,flourished,might,65,34,1,1,1
have,607,been,a,the,usually,won,145,45,26,1,1
also,577,be,the,supports,at,degrade,31,18,1,1,1
but,560,the,it,are,no,simply,58,32,7,4,2
has,546,been,a,its,happened,several,114,53,5,3,3
had,546,been,a,to,buried,promised,65,54,32,2,1
their,545,country,relocation,tasks,real,book,2,1,1,1,1
they,520,are,have,could,expect,started,73,22,15,1,1
one,458,of,year,day,origin,self,122,6,3,1,1
its,450,own,original,annual,birth,executive,16,4,2,2,1
other,428,cases,theories,individuals,axis,trump,4,2,1,1,1
can,415,be,result,of,typically,vary,208,2,1,1,1
two,392,weeks,main,separate,days,individual,11,8,4,3,2
more,388,common,likely,expensive,dominant,desirable,7,6,5,1,1
first,385,time,and,step,of,application,20,6,5,3,1
been,385,accompanied,spent,supported,predestined,displaced,2,1,1,1,1
when,370,they,using,illness,not,no,19,4,1,1,1
some,363,of,women,administrative,pieces,came,50,2,1,1,1
all,358,times,captured,be,feynman,women,1,1,1,1,1
many,355,of,people,cities,not,monthly,50,10,4,1,1
most,350,common,recent,renowned,remaining,deputies,10,3,2,1,1
there,349,are,is,was,have,in,107,80,25,10,2
time,341,and,he,team,her,penalty,10,4,2,2,1
these,340,new,components,people,resets,personal,3,1,1,1,1
may,333,be,also,not,punish,last,85,21,18,1,1
would,333,be,become,return,stand,live,76,6,2,1,1
only,330,a,as,time,three,vestigial,20,4,3,3,1
after,326,the,a,an,orgasm,applying,89,29,3,1,1
new,323,people,legal,countries,cms,messages,3,1,1,1,1
citation,321,citation,in,around,bison,samuel,36,19,2,1,1
used,319,to,for,as,from,cavemen,66,34,23,1,1
into,318,the,five,various,climatic,electricity,108,2,1,1,1
who,301,were,have,transgress,from,fail,23,9,1,1,1
than,298,that,surrender,access,life,five,7,1,1,1,1
such,298,as,a,discs,transfers,landings,164,22,1,1,1
however,252,the,ferry,only,any,a,4,1,1,1,1
during,245,the,world,uefa,sexual,third,113,5,1,1,1
between,244,the,individuals,beryllium,australia,truth,57,2,1,1,1
over,243,the,all,pop,short,greater,65,2,1,1,1
about,240,the,two,five,you,making,37,5,1,1,1
her,240,to,family,immediate,account,views,6,4,1,1,1
p,238,m,is,divides,province,if,5,5,3,1,1
no,232,one,illness,crap,immunity,convincing,11,1,1,1,1
use,225,their,or,effectiveness,criteria,extensive,3,2,1,1,1
if,214,the,a,there,occasional,childless,60,18,9,1,1
while,213,the,others,mining,computer,for,41,5,1,1,1
him,208,as,a,dead,since,boil,7,5,1,1,1
so,207,they,as,on,far,powerful,7,5,4,2,1
years,207,of,later,and,has,together,19,18,5,2,1
made,204,a,in,up,at,and,20,12,10,2,1
because,200,of,the,it,they,starch,70,24,22,10,1
