PredictEd Knowledge Map,Version,11,LTM
de,11204,la,mettre,couleur,forest,parte,1803,15,12,1,1
la,6418,saison,paroisse,victoire,réforme,mauveraie,45,15,13,5,1
le,5107,nom,premier,club,roman,basket,98,95,18,10,2
et,4777,les,à,un,est,modernes,197,94,72,43,1
l,4228,de,du,lui,majeure,chauveau,641,224,3,1,1
à,3818,la,s,lui,trouver,glendale,584,20,12,4,1
les,3801,angevins,favoris,élimine,soviétiques,pionniers,1,1,1,1,1
en,3230,mai,trois,faveur,californie,tombe,14,11,9,4,3
des,3126,voies,besoins,anomalies,minorités,contrats,6,4,2,1,1
d,3004,le,seule,chirurgien,convention,kennedy,27,2,1,1,1
du,2476,sud,peuple,prince,villard,queensland,24,8,6,1,1
est,2293,un,aussi,inhumé,légèrement,emprisonné,223,33,3,2,1
un,2075,lieu,camp,plaidoyer,bénévole,bourgeon,10,2,1,1,1
il,1959,s,se,en,aurait,désigne,90,82,22,6,5
dans,1708,le,la,les,un,son,392,286,238,106,47
une,1689,petite,bonne,identité,personnalité,tonne,10,9,4,2,1
pour,1532,le,des,expliquer,principe,promouvoir,109,29,2,1,1
par,1518,la,leur,écartement,secondes,bélisaire,156,10,1,1,1
au,1328,cimetière,bas,règne,columbarium,plaisir,7,4,2,1,1
qui,1220,s,était,permettent,montrèrent,aime,40,20,4,1,1
que,1128,les,la,l,son,présente,132,102,92,16,1
a,1107,été,pour,la,en,plu,219,18,18,7,1
son,1062,père,corps,rôle,environnement,écorce,51,6,6,2,1
sur,1030,le,les,des,son,accusation,211,127,41,12,1
plus,954,de,tard,terribles,globalement,fort,97,70,2,1,1
se,949,fait,retrouver,mettre,remettre,manifester,25,3,2,1,1
sont,838,les,presque,enterrés,constitués,enfermées,38,2,2,2,1
avec,805,la,les,une,ses,sa,63,63,51,28,19
ce,724,que,sujet,quatrième,processus,massacre,31,6,2,2,1
s,682,en,sur,et,par,compte,20,18,12,6,1
sa,674,famille,première,défense,terrasse,guitare,18,11,3,2,1
qu,653,n,ne,appelle,commence,vienne,27,20,7,2,1
ses,563,amis,fonctions,buffs,chroniques,sœurs,12,6,1,1,1
ou,560,les,en,à,l,prétendus,19,18,15,11,1
elle,559,est,a,fut,lui,réussit,91,66,13,4,2
pas,551,moins,dans,mais,se,spécialement,4,4,3,1,1
cette,547,fois,partie,mise,extension,filiale,13,10,2,1,1
mais,522,leur,celui,moins,représentent,bordeaux,8,5,1,1,1
ne,510,soit,pouvait,semble,baissent,remporta,9,7,6,1,1
n,475,pas,jamais,rien,b,jugent,218,22,3,2,1
comme,464,un,des,élève,durant,cabinet,47,11,2,1,1
été,439,contée,transformer,organisée,rapportés,entendues,1,1,1,1,1
aux,439,États,élections,averses,limites,etat,28,6,2,1,1
deux,428,ans,États,commissions,pilotes,maxima,12,2,1,1,1
»,417,par,où,ces,ils,presque,4,3,1,1,1
«,404,le,une,bernard,pythicon,très,18,4,1,1,1
lui,360,demande,dit,sa,demandent,aux,4,4,1,1,1
fait,352,partie,le,fondre,refaire,envoyer,12,11,2,1,1
leur,351,vision,point,rythme,séparation,ami,1,1,1,1,1
c,351,un,le,dans,en,pour,37,29,11,11,4
ont,333,été,des,pour,fondé,indiqué,84,7,6,1,1
on,324,peut,y,retrouve,n,applaudit,55,18,8,2,1
peut,312,être,aussi,encore,que,fait,69,18,4,2,1
fut,310,le,victime,déposé,dégradé,enterrée,18,2,1,1,1
même,308,si,des,type,la,d,19,4,4,4,3
aussi,299,la,celle,gros,jouer,active,20,1,1,1,1
après,286,la,l,une,un,celui,46,25,18,14,1
ces,283,mémoires,lieux,péripéties,traditions,chiffres,2,1,1,1,1
alors,280,que,de,à,clairement,défait,41,19,12,1,1
très,279,proches,imprécise,limité,mal,propre,2,1,1,1,1
entre,277,les,le,la,autres,belley,63,32,18,14,2
être,273,confondu,plus,aussi,envisagée,conduite,3,3,2,2,1
était,266,un,le,en,sur,membre,19,11,7,2,1
ils,264,sont,ont,pillent,redoutaient,visitent,45,21,1,1,1
sous,263,le,la,forme,il,pour,54,50,12,2,1
tout,249,le,l,ensemble,cas,ordre,22,3,3,1,1
ainsi,237,que,qu,à,vus,mis,72,24,10,1,1
nom,233,de,du,vient,latinisé,tel,66,18,4,1,1
où,229,il,elle,son,figure,plusieurs,54,22,3,1,1
également,218,la,en,aux,noter,sorti,10,5,2,1,1
ans,218,de,il,représente,dans,destiné,14,1,1,1,1
plusieurs,209,fois,de,personnes,étangs,opérettes,16,3,2,1,1
premier,204,but,document,téléski,européen,en,5,1,1,1,1
sans,192,doute,pétales,façon,bouclier,palissage,15,1,1,1,1
partie,186,de,du,des,la,que,55,28,15,4,1
y,184,sont,fait,distingue,bénéficient,exposa,8,7,1,1,1
ville,180,de,est,d,sous,vit,35,7,6,1,1
première,177,guerre,apparition,personne,activité,cape,14,4,1,1,1
temps,174,de,que,plus,du,modernes,16,6,1,1,1
fois,173,à,le,sur,son,durant,9,6,3,2,1
bien,173,que,qu,sûr,la,écrire,34,21,4,2,1
dont,170,le,il,la,ils,elle,27,24,21,3,2
tous,169,les,ses,ces,contrôlés,égaux,113,10,5,1,1
depuis,166,le,la,plus,mai,dans,25,9,4,1,1
monde,164,réel,sur,virtuel,rural,meilleur,2,2,1,1,1
grand,161,nombre,maître,salon,dam,cimetière,13,4,1,1,1
contre,154,le,la,lui,britannique,offensive,21,19,2,1,1
groupe,154,de,des,est,aurait,parvint,21,7,4,1,1
france,154,et,à,»,le,intervient,12,4,2,2,1
avait,151,été,fait,refusé,également,rassemblé,20,5,1,1,1
lors,150,de,d,des,du,la,83,18,17,17,1
jusqu,150,ce,l,leur,plus,ses,12,10,2,1,1
trois,149,ans,premiers,années,matchs,objets,11,2,2,1,1
faire,148,des,le,face,plaisir,son,10,7,4,1,1
si,148,le,l,la,on,elle,24,17,13,6,4
vers,147,le,l,les,des,et,36,19,13,2,1
donc,144,de,un,grossièrement,aussi,tout,8,2,1,1,1
pays,143,et,du,sont,anglo,aisé,9,3,3,1,1
leurs,142,études,intérêts,maisons,armes,activités,3,2,1,1,1
avant,141,de,la,le,d,l,35,17,10,10,9
peu,139,de,à,après,été,conformes,23,14,13,1,1
années,138,dans,auparavant,qui,aux,se,3,2,2,1,1
celui,136,de,qui,est,ne,que,32,12,7,3,2
autres,136,de,membres,bénéfices,tronçons,victuailles,3,3,1,1,1
français,133,né,d,a,pensionnaire,marc,4,4,2,1,1
place,133,de,est,et,masséna,«,13,3,3,1,1
encore,132,en,longtemps,lieu,aux,admirer,3,2,2,2,1
grande,128,écaille,instabilité,entreprise,astronomie,densité,1,1,1,1,1
puis,128,à,en,la,sur,devint,6,6,2,1,1
À,128,l,la,partir,son,cet,35,24,12,4,1
quelques,127,années,mois,exceptions,citations,problèmes,19,4,2,1,1
guerre,126,mondiale,de,civile,des,carliste,23,11,6,3,1
