PredictEd Knowledge Map,Version,11,LTM
the,15436,following,scientific,neuron,evolution,bookcc,39,33,22,4,1
of,9637,the,psychology,psychological,consciousness,learning,1980,117,55,47,44
and,8785,experimental,evolutionary,pedagogy,questions,jennifer,11,5,3,2,1
to,7070,this,psychology,guide,major,leslie,25,16,7,5,1
in,5665,the,this,our,memory,perception,1135,112,53,25,8
a,5258,different,behaviour,whole,part,science,28,23,11,9,3
that,4115,are,was,more,reside,permits,171,25,2,1,1
is,3444,a,the,its,personality,using,244,242,2,2,1
are,2663,defined,open,available,instructional,openly,5,4,4,1,1
as,2038,a,types,illness,printed,dr,280,3,2,1,1
or,1921,her,more,as,research,have,84,43,5,3,1
for,1759,the,a,more,action,information�about,225,93,11,5,1
by,1615,insight,association,confronting,changing,jennifer,4,2,2,2,1
on,1583,the,our,behaviour,social,piaget,513,39,20,8,1
with,1491,a,others,psychoactive,behaviour,behavioural,140,50,2,2,1
they,1343,are,help,care,tell,be,288,9,3,2,2
it,1278,difficult,did,all,clear,psychotherapy,8,7,7,5,2
we,1249,are,experience,need,remember,all,170,40,10,8,8
be,1233,important,an,true,expected,challenged,11,8,5,5,1
people,1074,who,in,have,face,for,196,34,28,2,1
more,1068,information,people,consistent,nature,nurture,5,5,4,2,2
have,1034,been,also,used,tried,access,128,18,6,4,1
from,992,other,original,charles,less,now,17,2,1,1,1
not,992,be,always,aware,expect,made,33,31,9,2,1
their,988,research,learning,free,links,thinking,30,5,1,1,1
you,907,can,are,will,may,with,113,50,37,18,2
can,869,be,use,sometimes,teach,label,208,7,2,2,1
when,867,we,i,our,one,and,130,10,6,3,3
an,865,integrated,informed,adoption,intellectual,instructor,4,3,2,1,1
who,835,are,is,can,expertly,signed,128,20,2,1,1
�,830,the,much,focusing,�what,applies,92,1,1,1,1
research,818,designs,findings,methods,testing,resources,21,10,9,4,1
our,800,thoughts,social,brains,world,social�lives,13,9,8,3,2
about,784,the,this,psychology,my,parenting,207,5,3,1,1
other,771,people,places,relevant,field,disciplines,81,3,3,2,1
j,758,n,e,�,l,#,1,1,2,1,0
psychology,751,in,as,history,how,actually,28,7,2,1,1
may,751,also,become,even,find,blame,51,14,7,6,1
this,734,is,book,adaptation,project,out,44,13,2,2,1
but,723,that,there,how,often,without,32,16,4,2,2
which,717,are,people,may,information,psychologists,40,23,13,4,1
social,710,situation,groups,cognition,lives,thinking,21,12,7,3,2
at,703,the,a,lafayette,cost,various,186,58,2,1,1
than,695,the,an,many,traditionally,teaching,72,2,2,1,1
also,684,to,includes,emphasized,emphasize,benefited,4,2,1,1,1
was,684,able,changed,difficult,presenting,harder,7,2,2,1,1
one,647,of,or,important,topic,man,125,20,12,1,1
m,645,a,d,e,j,�s,2,2,1,1,1
were,608,told,made,then,recruited,supposedly,17,6,3,1,1
figure,605,out,and,against,a,ordered,3,1,1,1,1
behaviour,601,and,through,�,approaches,abnormal,23,6,6,2,2
has,569,been,demonstrated,produced,specific,fewer,98,5,2,1,1
some,545,of,people,times,techniques,symptoms,91,30,2,2,1
r,536,s,m,�h,�c,accepting,3,1,1,1,1
s,530,h,f,remembers,comes,d,2,1,1,1,1
these,527,people,topics,themes,learning,�everyday�,11,1,1,1,1
psychological,521,disorders,disorder,science,research,television,84,69,38,25,1
brain,510,images,using,therapy,influence,scanner,3,3,2,1,1
will,505,be,consider,provide,learn,remember,77,17,3,3,2
them,502,understand,on,work,why,answer,4,4,2,1,1
if,499,you,we,they,to,half,65,64,57,1,1
personality,497,and,disorders,psychology,more,differences,89,32,5,2,1
disorder,494,known,by,what,biologically,cause,8,7,3,2,1
such,482,as,that,diverse,as�school,knowledge,378,31,2,1,1
do,479,not,you,work,hope,provide,148,66,3,1,1
new,476,york,knowledge,ways,hampshire,facts,230,10,5,1,1
stress,471,and,disorder,the,resulting,provide,46,26,5,1,1
because,471,they,it,we,our,values,83,60,34,6,1
most,456,important,of,fundamental,psychologists,other,75,40,10,6,5
memory,441,is,and,slightly,cure,sleep,39,18,2,2,1
how,428,we,could,research,birds,praying,26,3,2,1,1
important,412,for,and,approaches,test,resource,14,10,5,3,1
e,408,p,g,formats,e,o,2,2,1,2,1
